epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,93.2767,0.56167,0.49028,1.20858,0.83398,0.9135,0.95768,0.81413,0.65852,0.61831,1.40254,0.000977,0.000977,0.000977
157,93.8413,0.62014,0.51747,1.24562,0.94839,1,0.98326,0.85648,0.62832,0.50013,1.34289,0.0009704,0.0009704,0.0009704
158,94.3948,0.51955,0.47823,1.20287,0.94839,1,0.98326,0.85648,0.62832,0.50013,1.34289,0.0009638,0.0009638,0.0009638
159,94.9497,0.54511,0.4741,1.18055,0.9965,1,0.995,0.86488,0.62783,0.42338,1.31945,0.0009572,0.0009572,0.0009572
160,95.4896,0.46712,0.41214,1.15667,0.9965,1,0.995,0.86488,0.62783,0.42338,1.31945,0.0009506,0.0009506,0.0009506
161,96.0592,0.6348,0.5744,1.31397,0.99725,1,0.995,0.85826,0.63067,0.37792,1.32357,0.000944,0.000944,0.000944
162,96.595,0.45822,0.41401,1.19368,0.99725,1,0.995,0.85826,0.63067,0.37792,1.32357,0.0009374,0.0009374,0.0009374
163,97.1543,0.47522,0.43446,1.20827,0.99727,1,0.995,0.85104,0.66396,0.3727,1.38288,0.0009308,0.0009308,0.0009308
164,97.6957,0.5304,0.50157,1.30589,0.99727,1,0.995,0.85104,0.66396,0.3727,1.38288,0.0009242,0.0009242,0.0009242
165,98.2501,0.51536,0.42848,1.24008,0.99718,1,0.995,0.84001,0.70451,0.37674,1.46472,0.0009176,0.0009176,0.0009176
166,98.7919,0.58207,0.52555,1.25529,0.99718,1,0.995,0.84001,0.70451,0.37674,1.46472,0.000911,0.000911,0.000911
167,99.357,0.53172,0.46677,1.19196,0.99714,1,0.995,0.84754,0.71426,0.3972,1.47335,0.0009044,0.0009044,0.0009044
168,99.8835,0.57366,0.48262,1.27202,0.99714,1,0.995,0.84754,0.71426,0.3972,1.47335,0.0008978,0.0008978,0.0008978
169,100.442,0.55623,0.47112,1.17362,0.99714,1,0.995,0.85301,0.67885,0.39119,1.39432,0.0008912,0.0008912,0.0008912
170,100.972,0.53905,0.48286,1.23792,0.99714,1,0.995,0.85301,0.67885,0.39119,1.39432,0.0008846,0.0008846,0.0008846
171,101.53,0.56771,0.48694,1.2061,0.99715,1,0.995,0.85009,0.63047,0.39124,1.31287,0.000878,0.000878,0.000878
172,102.06,0.55652,0.48999,1.25084,0.99715,1,0.995,0.85009,0.63047,0.39124,1.31287,0.0008714,0.0008714,0.0008714
